@id,accessScheme,contentType,parentPid,publishScheme,title,hasData_@id,hasData_checksum_checksumValue,hasData_fileLabel,hasData_format,hasData_size,isDescribedBy_created,isDescribedBy_createdBy,isDescribedBy_lastModifiedBy,isDescribedBy_modified
frl:6472925,public,file,frl:6472924,public,"['Gryllus bimaculatus-containing diets protect against dexamethasone-induced muscle atrophy, but not high-fat diet-induced obesity']",frl:6472925/data,0ab57303b19d1c7de3cef406edb57931,Food Science   Nutrition - 2023 - Kim - Gryllus bimaculatus‐containing diets protect against dexamethasone‐induced muscle.pdf,application/pdf,8314352,2024-01-11T13:22:59.604+0100,286,286,2024-01-11T13:24:30.980+0100
frl:6472928,public,file,frl:6472927,public,"['Studying the microbial, chemical, and sensory characteristics of shrimp coated with alginate sodium nanoparticles containing Zataria multiflora and Cuminum cyminum essential oils']",frl:6472928/data,8a87809b7e2abced49f1899731086448,Food Science   Nutrition - 2023 - Osanloo - Studying the microbial  chemical  and sensory characteristics of shrimp coated.pdf,application/pdf,2935598,2024-01-15T10:53:03.430+0100,286,286,2024-01-15T10:54:13.874+0100
frl:6472930,public,file,frl:6472929,public,"['Color, pH, microbiological, and sensory quality of crickets (Gryllus bimaculatus) flour preserved with ginger and garlic extracts']",frl:6472930/data,eb77c42a048f0c57ef9322578269c705,Food Science   Nutrition - 2023 - Akullo - Color  pH  microbiological  and sensory quality of crickets  Gryllus bimaculatus.pdf,application/pdf,1123208,2024-01-15T11:31:12.201+0100,286,286,2024-01-15T11:32:21.824+0100
frl:6472932,public,file,frl:6472931,public,"[""Yield optimization, physicochemical characterizations, and antioxidant properties of food grade agar from Gracilaria tenuistipitata of Cox's Bazar coast, Bangladesh""]",frl:6472932/data,ef391aeb5c56446758f298608010b0bb,Food Science   Nutrition - 2023 - Mohibbullah - Yield optimization  physicochemical characterizations  and antioxidant.pdf,application/pdf,1651446,2024-01-15T12:28:09.366+0100,286,286,2024-01-15T12:29:17.638+0100
frl:6472934,public,file,frl:6472933,public,['Analysis of polychlorinated biphenyls (PCBs) in dairy products by modified QuEChERS/GC-QqQ-MS/MS method: A risk assessment study'],frl:6472934/data,d276ca0975190a510072d6f86f990738,Food Science   Nutrition - 2023 - Kiani - Analysis of polychlorinated biphenyls  PCBs  in dairy products by modified.pdf,application/pdf,1177909,2024-01-15T13:21:03.028+0100,286,286,2024-01-15T13:22:10.106+0100
frl:6472936,public,file,frl:6472935,public,"['Cross-sectional associations between healthy eating index and thyroid function in U.S. male Adults, NHANES 2007–2012']",frl:6472936/data,b9213e06232ca4145196ba6a93c0f2f7,Food Science   Nutrition - 2023 - Chen - Cross‐sectional associations between healthy eating index and thyroid function in.pdf,application/pdf,449637,2024-01-17T10:38:51.887+0100,286,286,2024-01-17T10:40:02.160+0100
frl:6472938,public,file,frl:6472937,public,['Preparation of milk-based probiotic lactic acid bacteria biofilms: A new generation of probiotics'],frl:6472938/data,83b221b418ca0eb7e326b0953c87e151,Food Science   Nutrition - 2023 - Rezaei - Preparation of milk‐based probiotic lactic acid bacteria biofilms  A new.pdf,application/pdf,1031144,2024-01-17T11:11:01.482+0100,286,286,2024-01-17T11:12:12.988+0100
frl:6472940,public,file,frl:6472939,public,"['Preparation, characterization, identification, and antioxidant properties of fermented acaí (Euterpe oleracea)']",frl:6472940/data,f899045c47883d3ae0a93a57cd0c56d6,Food Science   Nutrition - 2023 - Liu - Preparation  characterization  identification  and antioxidant properties of.pdf,application/pdf,7169657,2024-01-17T11:49:24.112+0100,286,286,2024-01-17T11:50:42.760+0100
frl:6472942,public,file,frl:6472941,public,"['Studying the shelf life of butter containing fucoidan, by evaluating sensory and chemical properties']",frl:6472942/data,c2c53459f01d661ca6371a222a20dba2,Food Science   Nutrition - 2023 - Alipour - Studying the shelf life of butter containing fucoidan  by evaluating sensory.pdf,application/pdf,379496,2024-01-17T12:22:43.995+0100,286,286,2024-01-17T12:23:48.130+0100
frl:6472944,public,file,frl:6472943,public,['Neuroprotective effect of quercetin and Zingiber officinale on sodium arsenate-induced neurotoxicity in rats'],frl:6472944/data,87f4603526141fc2c2d77117d750e14b,Food Science   Nutrition - 2023 - Yousuf - Neuroprotective effect of quercetin and Zingiber officinale on sodium.pdf,application/pdf,5401398,2024-01-17T13:24:38.358+0100,286,286,2024-01-17T13:25:51.771+0100
